"1","2","3","4","5","6","7","8","9","10","11","12"
189,268,246,49,2096,74,202,107,13,477,61,9
100,129,117,84,1228,348,128,64,10,275,46,120
74,201,55,22,164,26,33,75,3,130,30,2
438,739,168,103,519,278,92,333,0,520,46,2
857,1122,101,44,1207,8,165,631,219,1127,118,6
59,92,37,27,276,50,48,29,10,122,23,7
951,2572,162,115,223,11,139,938,7,954,149,3
426,998,103,441,257,1143,107,318,0,541,238,62
535,1818,115,124,255,285,107,501,0,650,129,4
531,522,154,136,1340,18,233,378,31,1102,181,27
521,863,159,37,666,6,123,476,11,732,56,2
490,408,70,58,1227,17,202,304,634,967,226,44
